Year,Genre,Sentence
2020,Crime/Detective & Suspense/Thrillers,"Just tell me where she is, and we can take this down a notch. Kerri took a breath, let it out slowly. Ill lower my weapon. You have my word. All I want is your cooperation."
2017,Crime/Detective & Suspense/Thrillers,"I could have become a mass murderer after I hacked my governor module, but then I realized I could access the combined feed of entertainment channels carried on the company satellites. It had been well over 35,000 hours or so since then, with still not much murdering, but probably, I dont know, a little under 35,000 hours of movies, serials, books, plays, and music consumed. As a heartless killing machine, I was a terrible failure."
1969,Crime/Detective & Suspense/Thrillers,I bet none of it would have happened if I wasnt so eloquent.
1974,Crime/Detective & Suspense/Thrillers,"Sometimes I think Im good and sometimes I think Im bad. I wish I could make up my mind, so Id know what stance to take. The first thing Warden Gadmore said to me was, Basically, youre not a bad person, Kunt. Kunt, I said quickly, pronouncing it the right way, as in koont. With an umlaut, I explained."
1981,Crime/Detective & Suspense/Thrillers,Each ant emerged from the skull bearing an infinitesimal portion of brain.
2001,Crime/Detective & Suspense/Thrillers,John Dortmunder was a man on whom the sun shone only when he needed darkness.
2005,Crime/Detective & Suspense/Thrillers,"When John Dortmunder, a free man, not even on parole, walked into the O. J. Bar & Grill on Amsterdam Avenue that Friday night in July, just before ten oclock, the regulars were discussing the afterlife."
1930,Crime/Detective & Suspense/Thrillers,"The telephone bell was ringing wildly, but without result, since there was no-one in the room but the corpse."
2023,Crime/Detective & Suspense/Thrillers,"I was supposed to be getting dressed for the party, the first since my murder."
2025,Crime/Detective & Suspense/Thrillers,"TriPoint, North Africa I dont hear the scream."
1940,Crime/Detective & Suspense/Thrillers,"Ive got to hide, he told himself. His chest heaved as he waited, crouching in a dark corner of the vestibule."
1940,Crime/Detective & Suspense/Thrillers,"Brrrrrrriiiiiiiiiiiiiiiiiiinng! An alarm clock clanged in the dark and silent room. A bed spring creaked. A womans voice sang out impatiently: Bigger, shut that thing off! A surly grunt sounded above the tinny ring of metal. Naked feet swished dryly across the planks in the wooden floor and the clang ceased abruptly."
2020,Crime/Detective & Suspense/Thrillers,"Andre marvels, watching a kid, a stranger of maybe sixteen, pinch another wallet."
2025,Crime/Detective & Suspense/Thrillers,"I do not believe in ghosts, which, since my death, has become something of a problem."
2021,Crime/Detective & Suspense/Thrillers,"When she had referred to herself as Nightbitch, she meant it as a good-natured self-deprecating jokebecause thats the sort of lady she was, a good sport, able to poke fun at herself, definitely not uptight, not wound really tight, not so freakishly tight that she couldnt see the humor in a light-hearted not-meant-as-an-insult situationbut in the days following this new naming, she found the patch of coarse black hair sprouting from the base of her neck and was, like, What the fuck ."
2001,Crime/Detective & Suspense/Thrillers,I still remember the day my father took me to the Cemetery of Forgotten Books for the first time.
2018,History & Historical Fiction,"Mister Robert Roberts Hitt, the well-known steno man, arrived in Springfield late on the sweltering afternoon of August 28, 1859. As he stepped down onto the platform of the new station, he paused briefly and nattily patted the beads of sweat from his forehead, then vainly attempted to tug the wrinkles out of his jacket."
1906,History & Historical Fiction,The ease and apparent willingness with which some men revert to an aimless life can best be accounted for by the savage or barbarian instincts of our natures.
1910,History & Historical Fiction,"On the theory that our genuine impulses may be connected with our childish experiences, that ones bent may be tracked back to that No-Mans Land where character is formless but nevertheless settling into lines of future development, I begin this record with some impressions of my childhood."
1994,History & Historical Fiction,"Just thinkin 1925, the eighth year of the Revolution, a traffic jam in Moscow!"
2021,History & Historical Fiction,"Funeral receptions can be tough spots to find enjoyment, but eleven-year-old Edmund Pearce was doing his best."
2023,History & Historical Fiction,"Vienna, November 1938 A sense of misfortune hung in the air. From the early morning hours, a menacing breeze had swept through the streets, whistling between the buildings, forcing its way in through the cracks under doors and windows. Just winter settling in, Rudolph Adler murmured to himself in an attempt to lighten his mood. But he couldnt blame the weather for the tightness in his chest, which hed felt for several months now."
2014,History & Historical Fiction,This is the story of two men who died as they livedviolently.
2012,History & Historical Fiction,"Among many other things, the year 1945 marked one of the most extraordinary population movements in European history."
2017,History & Historical Fiction,"The warning signs were ample. By the early spring of 1932, the peasants of Ukraine were beginning to starve."
1979,History & Historical Fiction,She only stopped screaming when she died. It was then that he started to scream.
1993,History & Historical Fiction,"In the beginning, human beings created a God who was the First Cause of all things and Ruler of heaven and earth."
2006,History & Historical Fiction,"Human beings are meaning-seeking creatures. Unless we find some pattern or significance in our lives, we fall very easily into despair."
1995,History & Historical Fiction,"I exist! I am conceived to the chimes of midnight on the clock on the mantelpiece in the room across the hall. The clock once belonged to my great-grandmother (a woman called Alice) and its tired chime counts me into the world. Im begun on the first stroke and finished on the last when my father rolls off my mother and is plunged into a dreamless sleep, thanks to the five pints of John Smiths Best Bitter he has drunk in the Punch Bowl with his friends, Walter and Bernard Belling."
1994,History & Historical Fiction,I was twelve years old the first time I walked on water.
2021,History & Historical Fiction,"Born on the Day of the Dead and dead five months before his twenty-ninth birthday, Stephen Crane lived five months and five days into the twentieth century, undone by tuberculosis before he had a chance to drive an automobile or see an airplane, to watch a film projected on a large screen or listen to a radio, a figure from the horse-and-buggy world who missed out on the future that was awaiting his peers, not just the construction of those miraculous machines and inventions but the horrors of the age as well, including the destruction of tens of millions of lives in two wars."
2025,History & Historical Fiction,"It was well past the midway point of 1944 when Charlie Matters clambered over the piled-up debris that littered much of London, while doing his best to fade into the lingering edges of the night-time."
1900,History & Historical Fiction,"Never, in all its history, was the proud and opulent city of New York more glad and gay than in the bright spring days of Seventeen-Hundred-and-Ninety-One. It had put out of sight every trace of British rule and occupancy, all its homes had been restored and re-furnished, and its sacred places re-consecrated and adorned."
1960,History & Historical Fiction,"In the last years of the Seventeenth Century there was to be found among the fops and fools of the London coffee-houses one rangy, gangling flitch called Ebenezer Cooke, more ambitious than talented, and yet more talented than prudent, who, like his friends-in-folly, all of whom were supposed to be educating at Oxford or Cambridge, had found the sound of Mother English more fun to game with than her sense to labor over, and so rather than applying himself to the pains of scholarship, had learned the knack of versifying, and ground out quires of couplets after the fashion of the day, afroth with Joves and Jupiters , aclang with jarring rhymes, and string-taut with similes stretched to the snapping-point."
1952,History & Historical Fiction,"It was very late in the afternoon. If you would like to learn the measure of a man that is the time of day to watch him. We are all half an inch taller in the morning than at night; it is fairly easy to take a large view of things when the mind is rested and the nerves are calm. But the day is a steady drain of small annoyances, and the difference in the size of men becomes hourly more apparent. The little man loses his temper; the big man takes a firmer hold. It was very late in the afternoon in Galilee."
2012,History & Historical Fiction,"Hypochondriacs have two significant beliefs; that their bodies contain something that will kill them, and that, if they could only read their bodies closely enough, they should be able to find that lurking threat before it is too late."
2020,History & Historical Fiction,"On November 4, 2008, when many world leaders waited to hear the results of the American presidential election, Italian prime minister Silvio Berlusconi was in his Roman residence preparing to have sex."
2016,History & Historical Fiction,"October 20, 1896 Zurich, Switzerland I smoothed the wrinkles on my freshly pressed white blouse, flattened the bow encircling my collar, and tucked back a stray hair into my tightly wound chignon. The humid walk through the foggy Zurich streets to the Swiss Federal Polytechnic campus played with my careful grooming. The stubborn refusal of my heavy dark hair to stay fixed in place frustrated me. I wanted every detail of the day to be perfect."
2023,History & Historical Fiction,"New York, New York October 14, 1927 Nearly fifty blocks whir past my cab window as I ride through the upper reaches of Manhattan from the Hotel Olga in Harlem. Traveling toward the Upper East Side, I feel as though, somewhere, Ive crossed an invisible line. The shades of complexions fade from colored to white."
1999,History & Historical Fiction,Fresh flowers accompany us through some of the most emotional moments of our lives.
2018,History & Historical Fiction,"And so it had come to this. Horrified as he stood on a height above the Potomac, James Madison, the fourth President of the United Statesand now, some wondered, the last?watched his beloved Washington City as it seemed to vanish into a crimson-orange swirl of fire."
1959,History & Historical Fiction,"On the 4th of May 1825, when Thomas Henry Huxley was born in the sleepy old village of Ealing, English society still had its roots deep in the eighteenth century. By the 29th June 1895, when he died at the newly developing seaside resort of Eastbourne, it was already feeling its way into the twentieth."
1891,History & Historical Fiction,"A man stood upon a railroad bridge in northern Alabama, looking down into the swift water twenty feet below. The mans hands were behind his back, the wrists bound with a cord. A rope closely encircled his neck."
2023,History & Historical Fiction,How can a nation founded on the homelands of dispossessed Indigenous peoples be the worlds most exemplary democracy?
1988,History & Historical Fiction,Lieutenant Dunbar wasnt really swallowed. But that was the first word that stuck in his mind.
2023,History & Historical Fiction,"Elizabeth Shaw has a problem. The director Ridley Scott has impregnated her with a large, vicious alien squid. Aboard the spaceship Prometheus , she has to find a way to abort her uninvited guest without bleeding to death. Shambling to a futuristic surgery pod, she asks the computer for a C-section. Error, it says, this medpod is calibrated for male patients only. Shit, said a woman behind me, who does that?"
1919,History & Historical Fiction,"Anthony Arden closed his eyes; he was trying to let the unutterable misery of two years slip from him. It was over; it was all over, as over as an extracted tooth, but he could not yet feel relief or exultation."
1992,History & Historical Fiction,How stupid the young are.
1965,History & Historical Fiction,When I first heard about Big Sur I didnt know that it was a member of the Confederate States of America.
2016,History & Historical Fiction,Lets start with a little history lesson: In the past everything was worse.
2019,History & Historical Fiction,"This is a book about a radical idea. An idea thats long been known to make rulers nervous. An idea denied by religions and ideologies, ignored by the news media and erased from the annals of world history. At the same time, its an idea thats legitimized by virtually every branch of science. One thats corroborated by evolution and confirmed by everyday life. An ideal so intrinsic to human nature that it goes unnoticed and gets overlooked. If only we had the courage to take it more seriously, its an idea that might just start a revolution. Turn society on its head. Because once you grasp what it really means, its nothing less than a mind-bending drug that ensures youll never look at the world the same again. So what is this radical idea? That most people, deep down, are pretty decent."
2022,History & Historical Fiction,"Away from the cameras and warmed by the fire, Ronald Reagan opened his first private conversation with Mikhail Gorbachev with a startling question: What would you do if the United States were suddenly attacked by someone from outer space? Would you help us?"
1847,History & Historical Fiction,"All true histories contain instruction; though, in some, the treasure may be hard to find, and when found, so trivial in quantity that the dry, shrivelled kernel scarcely compensates for the trouble of cracking the nut."
1847,History & Historical Fiction,There was no possibility of taking a walk that day.
2001,History & Historical Fiction,I used to love this season.
1999,History & Historical Fiction,"I was not there at the beginning. Few people were. And although I can speak with confidence of a beginning, of certain documented rebellions sparked by a handful of visionaries with stubborn courage, there were antecedents to those rebellions, and antecedents to the antecedents."
1990,History & Historical Fiction,"More than 300 million people in the world speak English and the rest, it sometimes seems, try to. It would be charitable to say the results are sometimes mixed."
2003,History & Historical Fiction,"Welcome. And congratulations. I am delighted you could make it. Getting here wasnt easy, I know. In fact, I suspect it was a little tougher than you think."
2015,History & Historical Fiction,"Dismas might have purchased the finger bone of the Apostle Thomas, but there was something not quite right about the man offering it for sale."
1830,History & Historical Fiction,It was a dark and stormy night.
2021,History & Historical Fiction,It was a truth universally acknowledged that any young lady without a dragon was doomed to social failure.
2011,History & Historical Fiction,"If the legendary oddsmaker Jimmy the Greek had been alive when the Civil War began, he would probably have given the South a better-than-even chance of winning."
2021,History & Historical Fiction,Abraham Lincoln was apparently one of those men who regard connubial bliss as an oxymoron.
1995,History & Historical Fiction,The word Irish is seldom coupled with the word civilization .
1998,History & Historical Fiction,"The Jews started it alland by it I mean so many of the things we care about, the underlying values that make us all, Jew and gentile, believer and atheist, tick."
2022,History & Historical Fiction,Id been lured to the dining room as prey.
2023,History & Historical Fiction,Paris December 1949 Julia Child had a mayonnaise problem.
2022,History & Historical Fiction,"On the morning of the best day of her life, and the worst, Aracely Munoz flew to Mexico City."
2002,History & Historical Fiction,"The room on the first floor of the Barbour County Courthouse in the little town of Eufaula, Alabama, was normally the County Clerks Office, but after it had closed for the day on August 2, 1957, it was being used by the countys Board of Registrars, the body that registered citizens so they could vote in electionsnot that the Board was going to register any of the three persons who were applying that day, for the skin of these applicants was black."
1994,History & Historical Fiction,"January 8th, 1919 Theodore is in the ground."
1997,History & Historical Fiction,"Theres likely some polished way of starting a story like this, a clever bit of gaming thatd sucker people in surer than the best banco feeler in town. But the truth is that I havent got the quick tongue or the slick wit for that kind of game."
1941,History & Historical Fiction,"The judge, when he sent me to prison, said that I had behaved like a woman without any moral sense."
2023,History & Historical Fiction,"Clytemnestra looks down at the steep ravine but can see no traces of dead bodies. She searches for cracked skulls, broken bones, corpses eaten by wild dogs and pecked by vultures, but nothing. There are only a few brave flowers growing between the cracks, their petals white against the darkness of the ravine. She wonders how they manage to grow in such a place of death."
2023,History & Historical Fiction,This is the story of the moment when American democracy began to unravel.
1993,History & Historical Fiction,The German Jews were a people shipwrecked by history.
2010,History & Historical Fiction,"In March 1793 Gilbert Stuart crossed the North Atlantic for the express purpose of painting President George Washington, the supreme prize of the age for any ambitious portrait artist."
2017,History & Historical Fiction,"Even as other Civil War generals rushed to publish their memoirs, flaunting their conquests and cashing in on their celebrity, Ulysses S. Grant refused to trumpet his accomplishments in print."
2022,History & Historical Fiction,This book has been written by someone in the grip of an addiction.
1968,History & Historical Fiction,"Behind every man now alive stand thirty ghosts, for that is the ratio by which the dead outnumber the living. Since the dawn of time, roughly a hundred billion human beings have walked the planet Earth."
1975,History & Historical Fiction,"The gale tore at him and he felt its bite deep within and he knew that if they did not make landfall in three days they would all be dead. Too many deaths on this voyage, he thought, Im Pilot-Major of a dead fleet."
1954,History & Historical Fiction,"I am a refugee from Sawdust Road, which is located in the South close by Tobacco Road of theater and movie fame."
2019,History & Historical Fiction,"My trial starts the way my life did: a squall of elbows and shoving and spit. From the prisoners hold they take me through the gallery, down the stairs and past the table crawling with barristers and clerks. Around me a river of faces in flood, their mutters rising, blending with the lawyers whispers. A noise that hums with all the spite of bees in a bush. Heads turn as I enter. Every eye a skewer."
1895,History & Historical Fiction,"The cold passed reluctantly from the earth, and the retiring fogs revealed an army stretched out on the hills, resting."
1840,History & Historical Fiction,"The fourteenth of August was the day fixed upon for the sailing of the brig Pilgrim, on her voyage from Boston, round Cape Horn, to the Western coast of North America."
1321,History & Historical Fiction,"Midway upon the journey of our life, I found myself within a forest dark, for the straightforward pathway had been lost."
1976,History & Historical Fiction,Intelligent life on a planet comes of age when it first works out the reason for its own existence.
1949,History & Historical Fiction,"One is not born, but rather becomes, a woman."
2022,History & Historical Fiction,"A long time ago in another country, I nearly killed a man."
2022,History & Historical Fiction,You cant drink all day unless you start in the morning.
1859,History & Historical Fiction,"It was the best of times, it was the worst of times, it was the age of wisdom, it was the age of foolishness, it was the epoch of belief, it was the epoch of incredulity, it was the season of Light, it was the season of Darkness, it was the spring of hope, it was the winter of despair, we had everything before us, we had nothing before us, we were all going direct to Heaven, we were all going direct the other wayin short, the period was so far like the present period, that some of its noisiest authorities insisted on its being received, for good or for evil, in the superlative degree of comparison only."
2023,History & Historical Fiction,The United States was born in paranoia.
1762,History & Historical Fiction,"Come rain or shine, my custom is to go for a stroll in the Palais-Royal every afternoon about five. I am always to be seen there alone, sitting on a seat in the Allee dArgenson, meditating."
1845,History & Historical Fiction,"I was born in Tuckahoe, near Hillsborough, and about twelve miles from Easton, in Talbot County, Maryland. I have no accurate knowledge of my age, never having seen any authentic record containing it."
1903,History & Historical Fiction,"Herein lie buried many things which if read with patience may show the strange meaning of being black here at the dawning of the Twentieth Century. This meaning is not without interest to you, Gentle Reader; for the problem of the Twentieth Century is the problem of the color-line."
1954,History & Historical Fiction,"Years later, when she had gone and was no longer part of their lives, the thing they remembered about her was her smile."
2022,History & Historical Fiction,A- Wop-Bop-A-Loo-Bop-a-Wop-Bam-Boom. Little Richard was speaking in tongues across the airwaves long before anybody knew what was happening.
2023,History & Historical Fiction,"January 12, 1925 The most powerful man in Indiana stood next to the governor at the Inaugural Ball, there to be thanked, applauded, and blessed for using the nations oldest domestic terror group to gain control of a uniquely American state."
2023,History & Historical Fiction,"On December 5, 1955, a young Black man became one of Americas founding fathers."
1859,History & Historical Fiction,"With a single drop of ink for a mirror, the Egyptian sorcerer undertakes to reveal to any chance comer far-reaching visions of the past. This is what I undertake to do for you, reader."
1866,History & Historical Fiction,"On the first of September, in the memorable year 1832, some one was expected at Transome Court."
2008,History & Historical Fiction,"The gun jammed on the last shot and the baby stood holding the crib rail, eyes wild, bawling. The man sat down in an upholstered chair and began taking his gun apart to see why it wouldnt fire. The babys crying set him on edge."
1992,History & Historical Fiction,Wildlife and the Wild Woman are both endangered species.
2021,History & Historical Fiction,"Money, Mississippi, looks exactly like it sounds. Named in that persistent Southern tradition of irony and with the attendant tradition of nescience, the name becomes slightly sad, a marker of self-conscious ignorance that might as well be embraced because, lets face it, it isnt going away."
2024,History & Historical Fiction,Those little bastards were hiding out there in the tall grass.
2014,History & Historical Fiction,"That night I dreamed. Someones at the door. I dont want to open it. But I must. A young soldier stands before me, trembling. I nod and he follows me into the tiny room. I light the lamp so I can see him better. Then I sit on the small wooden crate that contains my belongings and wait. He kneels on the floor before me, his body tense as the strings on the shamisen I used to play. The fighting was close today, I say to him. The soldier looks frightenedthey all do. He nods and bows his head. But I have already looked into his eyeseyes that have seen too much. He reaches for me and I flinch. Its a mistake. His eyes flash as the wounded beast within him roars. He hits me, striking at me with all of his pent up rage. Then he rapes me."
2011,History & Historical Fiction,"Toulouse, France 1293 They found him in the cloister, lying on his back with ice in his beard. He was half conscious, muttering about a Templar knight, a secret commission from the Pope, and a beautiful woman on a white pony."
2015,History & Historical Fiction,"You will love this man. Do you understand? You will love him, serve him, and obey him in all things. This is your duty to me and to France. Am I clear?"
2017,History & Historical Fiction,"Toulouse, France: 1205 God chose Fabricia Berenger during a lightning storm. With one thunderous touch of his finger, he sent her reeling."
2018,History & Historical Fiction,"They call my little Joan the most beautiful woman in all England. Well, every father thinks that about his daughter. That she is special, and prettier. But I never had the opportunity to boast. My name is Edmund of Woodstock and I am the son of a king and the brother of a king and the grandfather of a king."
2021,History & Historical Fiction,The head had been impaled on a railing outside the Royal Courts of Justice in the Strand in the early hours of a cold November morning. There was a fine dusting of frost on the corpses hair and eyelids which gave it a festive touch.
1930,History & Historical Fiction,"It is never a waste of time to study the history of a word. Such journeys, whether short or long, monotonous or varied, are always instructive."
1958,History & Historical Fiction,"Every third woman you passed on Goat Street in Baronof was young, pretty, and pregnant. The men, too, were young, virile, and pregnant with purpose."
1941,History & Historical Fiction,Though I havent ever been on the screen I was brought up in pictures. Rudolph Valentino came to my fifth birthday partyor so I was told.
2011,History & Historical Fiction,"Pleasant it is, no doubt, to drink tea with your sweetheart, but most disagreeable to find her bubbling in the tea-urn. So wrote Thomas de Quincy in 1826, and indeed, it is hard to argue with him."
1980,History & Historical Fiction,The last camel collapsed at noon.
1989,History & Historical Fiction,The small boys came early to the hanging.
2023,History & Historical Fiction,"Until that day, Sal Clitheroe had never heard her husband scream. After that day, she never heard it again, except in dreams."
2023,History & Historical Fiction,"If you are going to look for your enslaved ancestors, you will have to look for the people who enslaved them."
1946,History & Historical Fiction,"This book does not claim to be an account of facts and events but of personal experiences, experiences which millions of prisoners have suffered time and time again. It is the inside story of a concentration camp, told by one of its survivors."
2001,History & Historical Fiction,The madness of an autumn prairie cold front coming through. You could feel it: something terrible was going to happen.
2010,History & Historical Fiction,"Sometimes when people asked Eileen Holland if she had any brothers or sisters, she had to think for a moment."
1997,History & Historical Fiction,"At the first gesture of morning, flies began stirring. Inmans eyes and the long wound at his neck drew them, and the sound of their wings and the touch of their feet were soon more potent than a handful of roosters in rousing a man to wake."
2022,History & Historical Fiction,"7 April 1944 After days of delay, weeks of obsessive preparation, months of watching the failed attempts of others and two years of seeing the depth to which human beings could sink, the moment had finally come. It was time to escape."
1989,History & Historical Fiction,"Watching a newsreel or flipping through an illustrated magazine at the beginning of the American war, you were likely to encounter a memorable image: the newly invented jeep, an elegant, slim-barreled 37-mm gun in tow, leaping over a hillock."
1991,History & Historical Fiction,"People disappear all the time. Ask any policeman. Better yet, ask a journalist. Disappearances are bread-and-butter to journalists. Young girls run away from home. Young children stray from their parents and are never seen again. Housewives reach the end of their tether and take the grocery money and a taxi to the station. International financiers change their names and vanish into the smoke of imported cigars. Many of the lost will be found, eventually, dead or alive. Disappearances, after all, have explanations. Usually."
1993,History & Historical Fiction,"He was dead. However, his nose throbbed painfully, which he thought odd, in the circumstances."
2021,History & Historical Fiction,"You know that something is coming. Somethinga specific, dire, and awful something will happen. You envision it, you push it away. It rolls slowly, inexorably, back into your mind. You make what preparation you can. Or you think you do, though your bones know the truththere isnt any way to sidestep, accommodate, lessen the impact. It will come, and you will be helpless before it. You know these things. And yet, somehow, you never think it will be today."
1958,History & Historical Fiction,"Wealth is not without its advantages and the case to the contrary, although it has often been made, has never proved wildly persuasive."
2021,History & Historical Fiction,"Herein I begin my account, with the help of my neighbor Simon Satler, since I am unable to read or write. I maintain that I am not a witch, never have seen a witch, am a relative to no witches. But from very early in life, I had enemies."
1906,History & Historical Fiction,The possessive instinct never stands still.
1906,History & Historical Fiction,Those privileged to be present at a family festival of the Forsytes have seen that charming and instructive sightan upper middle-class family in full plumage.
1931,History & Historical Fiction,"The Bishop of Porthminster was sinking fast; they had sent for his four nephews, his two nieces and their one husband. It was not thought that he would last the night."
2023,History & Historical Fiction,I recently sent a letter to a terrorist I used to know.
1961,History & Historical Fiction,"If we accept the common usage of words, nothing can be more readily disproved than the old saw, You cant keep a good man down."
1999,History & Historical Fiction,The life of Mozart is the triumph of genius over precociousness.
2020,History & Historical Fiction,What happened to us? The question haunts us in the Arab and Muslim world. We repeat it like a mantra.
1776,History & Historical Fiction,"In the second century of the Christian era, the empire of Rome comprehended the fairest part of the earth, and the most civilized portion of mankind."
2021,History & Historical Fiction,I was in the third grade when I saw Abraham Lincoln assassinated.
2021,History & Historical Fiction,"There was a time when the worlds largest airport sat in the middle of the western Pacific, around 1,500 miles from the coast of Japan, on one of a cluster of small tropical islands known as the Marianas. Guam. Saipan. Tinian."
2013,History & Historical Fiction,"There are a limited number of excuses for a young, intelligent woman of seventeen to be traversing the fog-shrouded streets of London at midnight. A matter of protecting ones life or preventing anothers death are two obvious ones."
2013,History & Historical Fiction,"There are things we cant undo, but perhaps there is a kind of constructive remorse that could transform regrettable acts into something of service to life."
2018,History & Historical Fiction,"Abraham Lincoln, Theodore Roosevelt, Franklin Roosevelt, and Lyndon Johnsonthe lives and times of these four men have occupied me for half a century. I have awakened with them in the morning and thought about them when I went to bed at night."
2009,History & Historical Fiction,"We are all pebbles dropped in the sea of history, where the splash strikes one way and the big tides run another, and though what we feel is the splash, the splash takes place only within those tides. In almost every case, the incoming current drowns the splash; once in a while the drop of the pebble changes the way the ocean runs."
1985,History & Historical Fiction,Buffalo Bill played his designated role in reducing the American bison from an estimated population of 60 million to near extinction.
1959,History & Historical Fiction,"Granted: I am an inmate of a mental hospital; my keeper is watching me, he never lets me out of his sight."
1934,History & Historical Fiction,"I, Tiberius Claudius Drusus Nero Germanicus This-that-and-the-other (for I shall not trouble you yet with all my titles) who was once, and not so long ago either, known to my friends and relatives and associates as Claudius the Idiot, or That Claudius, or Claudius the Stammerer, or Clau-Clau-Claudius or at best as Poor Uncle Claudius, am now about to write this strange history of my life; starting from my earliest childhood and continuing year by year until I reach the fateful point of change where, some eight years ago, at the age of fifty-one, I suddenly found myself caught in what I may call the golden predicament from which I have never since become disentangled."
1986,History & Historical Fiction,"Let me say this: bein an idiot is no box of chocolates. People laugh, lose patience, treat you shabby. Now they say folks is sposed to be kind to the afflicted, but let me tell youit aint always that way. Even so, I got no complaints, cause I reckon I done live a pretty interestin life so to speak."
2007,History & Historical Fiction,I am ninety. Or ninety-three. One or the other.
1997,History & Historical Fiction,There are just two kinds of people in the world: those who will help you and those who wont.
1930,History & Historical Fiction,"Five hundred years before Christ in a little town on the far western border of the settled and civilized world, a strange new power was at work."
2015,History & Historical Fiction,"If I have learned anything in this long life of mine, it is this: In love we find out who we want to be; in war we find out who we are."
2021,History & Historical Fiction,"Elsa Wolcott had spent years in enforced solitude, reading fictional adventures and imagining other lives. In her lonely bedroom, surrounded by the novels that had become her friends, she sometimes dared to dream of an adventure of her own, but not often. Her family repeatedly told her that it was the illness shed survived in childhood that had transformed her life and left it fragile and solitary, and on good days, she believed it."
2020,History & Historical Fiction,May 2005 Its a Saturday morning and Im midway through my shift at the Winter Park Public Library when I see it. The book I last laid eyes on more than six decades ago. The book I believed had vanished forever. The book that meant everything to me.
2019,History & Historical Fiction,Everyone was calling it the wedding of the century. I was calling it the worst day of my life.
2024,History & Historical Fiction,"London November 4, 1885 It is a sad day, indeed, when even an orgy does not interest me."
1929,History & Historical Fiction,"In the late summer of that year we lived in a house in a village that looked across the river and the plain to the mountains. In the bed of the river there were pebbles and boulders, dry and white in the sun, and the water was clear and swiftly moving and blue in the channels. Troops went by the house and down the road and the dust they raised powdered the leaves of the trees. The trunks of the trees too were dusty and the leaves fell early that year and we saw the troops marching along the road and the dust rising and leaves, stirred by the breeze, falling and the soldiers marching and afterward the road bare and white except for the leaves."
1927,History & Historical Fiction,"The day had gone by just as days go by. I had killed it in accordance with my primitive and retiring way of life. I had worked for an hour or two and perused the pages of old books. I had had pains for two hours, as elderly people do. I had taken a powder and been very glad when the pains consented to disappear. I had lain in a hot bath and absorbed its kindly warmth. Three times the mail had come with undesired letters and circulars to look through. I had done my breathing exercises, but found it convenient today to omit the thought exercises. I had been for an hours walk and seen the loveliest feathery cloud patterns penciled against the sky. That was very delightful. So was the reading of old books. So was the lying in the warm bath."
1975,History & Historical Fiction,"At precisely one oclock on the morning of Saturday, 6, November 1943, Heinrich Himmler, Reichfuhrer of the SS and Chief of state Police, received a simple message: The Eagle has landed."
2001,History & Historical Fiction,"In 1938, near the end of a decade of monumental turmoil, the years number-one newsmaker was not Franklin Delano Roosevelt, Hitler, or Mussolini. It wasnt Pope Pius XI, nor was it Lou Gehrig, Howard Hughes, or Clark Gable. The subject of the most newspaper column inches in 1938 wasnt even a person. It was an undersized, crooked-legged racehorse named Seabiscuit."
1964,History & Historical Fiction,"The most difficult and delicate task that faces the author of a book of essays is that of writing an Introduction that makes his various pieces seem considerably more unified, in theme and argument, than they were in fact when they were written."
2014,History & Historical Fiction,"In America, anything was possible. This was what Josephines husband told her before he left their village to catch the ship in Naples."
2003,History & Historical Fiction,"I became what I am today at the age of twelve, on a frigid overcast day in the winter of 1975. I remember the precise moment, crouching behind a crumbling mud wall, peeking into the alley near the frozen creek."
2020,History & Historical Fiction,I hate biographies; they always end badly.
1951,History & Historical Fiction,"A six-foot-tall, yellow-haired whore from Mississippi was the most successful revolutionary of the Second War. Her name was Mamie Stover."
1751,History & Historical Fiction,"Disputes with men, pertinaciously obstinate in their principles, are, of all others, the most irksome; except perhaps, those with persons, entirely disingenuous, who really do not believe the opinions they defend, but engage in the controversy, from affectation, from a spirit of opposition, or from a desire of showing wit and ingenuity, superior to the rest of mankind."
1937,History & Historical Fiction,Ships at a distance have every mans wish on board.
1978,History & Historical Fiction,"Garps mother, Jenny Fields, was arrested in Boston in 1942 for wounding a man in a movie theater. This was shortly after the Japanese had bombed Pearl Harbor and people were being tolerant of soldiers, because suddenly everyone was a soldier, but Jenny Fields was quite firm in her intolerance of the behavior of men in general and soldiers in particular."
1989,History & Historical Fiction,"I am doomed to remember a boy with a wrecked voicenot because of his voice, or because he was the smallest person I ever knew, or even because he was the instrument of my mothers death, but because he is the reason I believe in God; I am a Christian because of Owen Meany."
2009,History & Historical Fiction,"The young Canadian, who could not have been more than fifteen, had hesitated too long. For a frozen moment, his feet had stopped moving on the floating logs in the basin above the river bend; hed slipped entirely underwater before anyone could grab his outstretched hand."
2012,History & Historical Fiction,"Im going to begin by telling you about Miss Frost. While I say to everyone that I became a writer because I read a certain novel by Charles Dickens at the formative age of fifteen, the truth is I was younger than that when I first met Miss Frost and imagined having sex with her, and this moment of my sexual awakening also marked the fitful birth of my imagination."
1992,History & Historical Fiction,"As his parents finished packing the few personal belongings that they were permitted to take out of Germany, the bespectacled fifteen-year-old boy stood in the corner of the apartment and memorized the details of the scene."
2003,History & Historical Fiction,"His arrival in Philadelphia is one of the most famous scenes in autobiographical literature: the bedraggled 17-year-old runaway, cheeky yet with a pretense of humility, straggling off the boat and buying three puffy rolls as he wanders up Market Street. But wait a minute. Theres something more."
