author,title,year,opening_line
Diana Gabaldon,Voyager,1993,"He was dead. However, his nose throbbed painfully, which he thought odd, in the circumstances."
Diana Gabaldon,Go Tell the Bees That I Am Gone,2021,"You know that something is coming. Something—a specific, dire, and awful something—will happen. You envision it, you push it away. It rolls slowly, inexorably, back into your mind. You make what preparation you can. Or you think you do, though your bones know the truth—there isn’t any way to sidestep, accommodate, lessen the impact. It will come, and you will be helpless before it. You know these things. And yet, somehow, you never think it will be today."
Amity Gaige,Sea Wife,2020,"Where does a mistake begin? Lately I’ve found this simple question difficult. Impossible, actually. A mistake has roots in both time and space–a person’s reasoning and her whereabouts. Somewhere in the intersection of those two dimensions is the precisely bounded mistake–in nautical terms, its coordinates."
Mary Gaitskill,This is Pleasure,2019,"I’d known Quin for maybe five years when he told me this story—really not even a story, more like an anecdote—about a woman he’d met on the street. Quin believed that he could perceive a person’s most essential nature just by looking at him or her; he also believed that, in the same way, he could know what they would most respond to. He was a little conceited about these supposed special abilities, and that was how the story began."
John Galsworthy,In Chancery,1906,The possessive instinct never stands still.
John Galsworthy,The Man of Property,1906,Those privileged to be present at a family festival of the Forsytes have seen that charming and instructive sight—an upper middle-class family in full plumage.
John Galsworthy,Maid in Waiting,1931,"The Bishop of Porthminster was sinking fast; they had sent for his four nephews, his two nieces and their one husband. It was not thought that he would last the night."
Gabriel García Márquez,Memories of My Melancholy Whores,2004,"The year I turned ninety, I wanted to give myself the gift of a night of wild love with an adolescent virgin."
Peter Gault,Goldenrod,1984,I never tire of looking at myself.
Lisa Genova,Inside the O’Briens,2015,"Damn woman is always moving his things. He can’t kick off his boots in the living room or set his sunglasses down on the coffee table without her relocating them to “Where they belong.” Who made her God in this house? If he wants to leave a stinking pile of his own shit in the middle of the kitchen table, then that’s where it should stay until he moves it. Where the fuck is my gun? “Rosie!” Joe hollers from the bedroom."
Kaye Gibbons,Ellen Foster,1987,When I was little I would think of ways to kill my daddy.
Emily Giffin,Meant to Be,2022,I don’t remember my father. At least that’s what I tell people when they ask if I do. I was barely three years old when he died.
Elizabeth Gilbert,Esquire,,"I was not the prettiest bartender at the Coyote Ugly Saloon. In my opinion, that would have been Caroline. I was partial to Caroline, though, because she had been so nice to me when I began working here. She was very pretty and also very funny. When I asked Caroline how she’d gotten her first bartender job, she cupped her breasts and said simply, “These.”"
Elizabeth Gilbert,"Eat, Pray, Love",2006,I wish Giovanni would kiss me.
Douglas Glover,The South Will Rise at Noon,1988,"Looking back, I should have realized something was up as soon as I opened the bedroom door and found my wife asleep on top of the sheets with a strange man curled up like a fetus beside her."
Gail Godwin,Flora,2013,"There are things we can’t undo, but perhaps there is a kind of constructive remorse that could transform regrettable acts into something of service to life."
William Goldman,The Princess Bride,1973,"This is my favorite book in all the world, though I have never read it."
Oliver Goldsmith,The Vicar of Wakefield,1766,"I was ever of [the] opinion, that the honest man who married and brought up a large family, did more service than he who continued single and only talked of population."
Emily Gould,Perfect Tunes,2020,When Laura was sixteen she wrote a perfect song.
Stephen Jay Gould,The Flamingo’s Smile: Reflections in Natural History,1985,"Abstinence has its virtuous side, but enough is enough."
John Green,Looking for Alaska,2005,"The week before I left my family and Florida and the rest of my minor life to go to boarding school in Alabama, my mother insisted on throwing me a going-away party. To say that I had low expectations would be to underestimate the matter dramatically."
John Green,The Fault is in Our Stars,2012,"Late in the winter of my seventeenth year, my mother decided I was depressed, presumably because I rarely left the house, spent quite a lot of time in bed, read the same book over and over, ate infrequently, and devoted quite a bit of my abundant free time to thinking about death."
Graham Greene,The End of the Affair,1951,"A story has no beginning or end: arbitrarily one chooses that moment of experience from which to look back or from which, to look ahead."
Phyllis Grosskurth,Havelock Ellis,1980,"Havelock Ellis was a revolutionary, one of the seminal figures responsible for the creation of a modern sensibility, although, like most revolutionaries, he would not have been happy with the world he helped to create."
Sara Gruen,Water for Elephants,2007,I am ninety. Or ninety-three. One or the other.
Judith Guest,Ordinary People,1976,"To have a reason to get up in the morning, it is necessary to possess a guiding principle. A belief of some kind. A bumper sticker, if you will."
Alan Gurganus,Plays Well with Others,1997,There are just two kinds of people in the world: those who will help you and those who won’t.
Alan Gurganus,The Practical Heart: Four Novellas,2011,"In Falls, North Carolina, in 1957, we had just one way of “coming out.” It was called getting caught."
Mark Haddon,The Curious Incident of the Dog in the Night-Time,2003,"It was 7 minutes after midnight. The dog was lying on the grass in the middle of the lawn in front of Mrs. Shears’s house. Its eyes were closed. It looked as if it was running on its side, the way dogs run when they think they are chasing a cat in a dream. But the dog was not running or asleep. The dog was dead."
Elizabeth Forsythe Hailey,A Woman of Independent Means,1978,"Dec. 10, 1899 Honey Grove, Texas Dear Rob, I just asked Miss Appleton to put us on the same team for the spelling bee. Since we’re the only two people in the fourth grade who can spell “perspicacious,” our team is sure to win. Can you come over after school? The gardener is clearing the hollyhock bed so there will be more room to play tag. It was my idea. Bess"
Elizabeth Hand,Hard Light,2016,A stolen passport will only get you so far.
Kristin Hannah,The Nightingale,2015,"If I have learned anything in this long life of mine, it is this: In love we find out who we want to be; in war we find out who we are."
Kristin Hannah,The Four Winds,2021,"Elsa Wolcott had spent years in enforced solitude, reading fictional adventures and imagining other lives. In her lonely bedroom, surrounded by the novels that had become her friends, she sometimes dared to dream of an adventure of her own, but not often. Her family repeatedly told her that it was the illness she’d survived in childhood that had transformed her life and left it fragile and solitary, and on good days, she believed it."
Jordan Harper,She Rides Shotgun,2017,His skin told his history in tattoos and knife scars.
Karen Harper,American Duchess,2019,Everyone was calling it the wedding of the century. I was calling it the worst day of my life.
Cynthia Heimel,Sex Tips for Girls,1983,These are the times that try a girl’s soul.
Cynthia Heimel,Sex Tips for Girls,1983,"There are certain magazines which should be avoided. They call themselves “women’s” magazines, which is absurd, since their complete raison d’étre is the care and feeding of the male."
Cynthia Heimel,"Get Your Tongue Out of My Mouth, I’m Kissing You Good-Bye!",1993,"Every so often I grow despondent over my body and soul marching inexorably into middle age: I go to a nightclub and deeply inhale the heady odor of tobacco, whisky, dirt, and hormones, then after fifteen minutes I get tired and go home."
Ernest Hemingway,A Farewell to Arms,1929,"In the late summer of that year we lived in a house in a village that looked across the river and the plain to the mountains. In the bed of the river there were pebbles and boulders, dry and white in the sun, and the water was clear and swiftly moving and blue in the channels. Troops went by the house and down the road and the dust they raised powdered the leaves of the trees. The trunks of the trees too were dusty and the leaves fell early that year and we saw the troops marching along the road and the dust rising and leaves, stirred by the breeze, falling and the soldiers marching and afterward the road bare and white except for the leaves."
Amy Hempel,The Collected Stories of Amy Hempel,2006,"When my mother died, my father’s early widowhood gave him social cachet he would not have had if they had divorced. He was a bigger catch for the sorrow attached."
Emily Henry,Book Lovers,2022,"When books are your life—or in my case, your job—you get pretty good at guessing where a story is going."
J. Patrick Henry,The Remembered Arts Journal,,Freda kept losing her husband.
O. Henry,The Four Million,1905,One dollar and eighty-seven cents. That was all. And sixty cents of it was in pennies. Pennies saved one and two at a time by bulldozing the grocer and the vegetable man and the butcher until one’s cheeks burned with the silent imputation of parsimony that such close dealing implied. Three times Della counted it. One dollar and eighty-seven cents. And the next day would be Christmas.
Hermann Hesse,Steppenwolf,1927,"The day had gone by just as days go by. I had killed it in accordance with my primitive and retiring way of life. I had worked for an hour or two and perused the pages of old books. I had had pains for two hours, as elderly people do. I had taken a powder and been very glad when the pains consented to disappear. I had lain in a hot bath and absorbed its kindly warmth. Three times the mail had come with undesired letters and circulars to look through. I had done my breathing exercises, but found it convenient today to omit the thought exercises. I had been for an hour’s walk and seen the loveliest feathery cloud patterns penciled against the sky. That was very delightful. So was the reading of old books. So was the lying in the warm bath."
Patricia Highsmith,Strangers on a Train,1950,"The train tore along with an angry, irregular rhythm. It was having to stop at smaller and more frequent stations, where it would wait impatiently for a moment, then attack the prairie again."
Jennifer Hillier,Freak,2013,"There was something fucked up about a job where cocaine was overlooked, but cigarettes would get you fired."
Jennifer Hillier,Things We Do in the Dark,2022,"There’s a time and place for erect nipples, but the back of a Seattle police car definitely isn’t it."
Joanna Hines [now writing as Joanna Hodgkin],The Murder Bird,2006,"Five weeks before Kirsten Waller’s body was found in a clifftop cottage in Cornwall, Grace Hobden cleared away the lunch, checked to make sure her three children were playing on the climbing frame at the bottom of the garden, then went indoors to murder her husband."
Shere Hite,The Hite Report,1976,Women have never been asked how they feel about sex.
Alice Hoffman,Practical Magic,1995,"For more than two hundred years, the Owens women have been blamed for everything that has gone wrong in town."
Alice Hoffman,The Book of Magic,2021,"Some stories begin at the beginning and others begin at the end, but all the best stories begin in a library."
Billie Holiday,Lady Sings the Blues,1956,"Mom and Pop were just a couple of kids when they got married. He was eighteen, she was sixteen, and I was three."
Ann Hood,An Italian Wife,2014,"In America, anything was possible. This was what Josephine’s husband told her before he left their village to catch the ship in Naples."
Colleen Hoover,Verity,2018,I hear the crack of his skull before the spattering of blood reaches me.
Nick Hornby,High Fidelity,1995,"My desert-island, all-time, top five most memorable split-ups, in chronological order:"
Nick Hornby,"Juliet, Naked",2009,They had flown from England to Minneapolis to look at a toilet.
Nick Hornby,Funny Girl,2014,"She didn’t want to be a beauty queen, but as luck would have it, she was about to become one."
Nick Hornby,Just Like You,2020,"How could one say with any certainty what one hated most in the world? It surely depended on how proximate the hated thing was at any given moment, whether you were doing it or listening to it or eating it at the time."
Khaled Hosseini,The Kite Runner,2003,"I became what I am today at the age of twelve, on a frigid overcast day in the winter of 1975. I remember the precise moment, crouching behind a crumbling mud wall, peeking into the alley near the frozen creek."
Helen Hudson,Criminal Trespass,1985,"A public library, like a railway station, gets all kinds."
Langston Hughes,Simple Speaks His Mind,1950,"It was the summer the young men in Harlem stopped wearing their hair straightened, oiled, or conked, and started having it cut short, leaving it natural, standing up about an inch or two in front in a kind of brush."
Langston Hughes,Simple Speaks His Mind,1950,"When I walked into the bar and saw him on the corner stool alone, I could tell something was wrong."
Victor Hugo,Les Misérables,,"In the year 1815 Monseigneur Charles-François-Bienvenu Myriel was Bishop of Digne. He was then about seventy-five, having held the bishopric since 1806."
William Bradford Huie,The Revolt of Mamie Stover,1951,"A six-foot-tall, yellow-haired whore from Mississippi was the most successful revolutionary of the Second War. Her name was Mamie Stover."
Zora Neale Hurston,Their Eyes Were Watching God,1937,Ships at a distance have every man’s wish on board.
Francis Iles (pen name of Anthony Berkeley Cox),Malice Aforethought,1931,It was not until several weeks after he had decided to murder his wife that Dr. Bickleigh took any active steps in the matter.
Greg Iles,The Quiet Game,1999,"I am standing in line for Walt Disney’s It’s a Small World ride, holding my four-year-old daughter in my arms, trying to entertain her as the serpentine line of parents and children moves slowly toward the flat-bottomed boats emerging from the grotto to the music of an endless audio loop. Suddenly Annie jerks taut in my arms and points into the crowd. “Daddy! I saw Mama! Hurry!” I do not look. I don’t ask where. I don’t because Annie’s mother died seven months ago. I stand motionless in the line, looking just like everyone else except for the hot tears that have begun to sting my eyes."
John Irving,The World According to Garp,1978,"Garp’s mother, Jenny Fields, was arrested in Boston in 1942 for wounding a man in a movie theater. This was shortly after the Japanese had bombed Pearl Harbor and people were being tolerant of soldiers, because suddenly everyone was a soldier, but Jenny Fields was quite firm in her intolerance of the behavior of men in general and soldiers in particular."
John Irving,A Prayer for Owen Meany,1989,"I am doomed to remember a boy with a wrecked voice—not because of his voice, or because he was the smallest person I ever knew, or even because he was the instrument of my mother’s death, but because he is the reason I believe in God; I am a Christian because of Owen Meany."
John Irving,Last Night in Twisted River,2009,"The young Canadian, who could not have been more than fifteen, had hesitated too long. For a frozen moment, his feet had stopped moving on the floating logs in the basin above the river bend; he’d slipped entirely underwater before anyone could grab his outstretched hand."
John Irving,In One Person,2012,"I’m going to begin by telling you about Miss Frost. While I say to everyone that I became a writer because I read a certain novel by Charles Dickens at the formative age of fifteen, the truth is I was younger than that when I first met Miss Frost and imagined having sex with her, and this moment of my sexual awakening also marked the fitful birth of my imagination."
Kazuo Ishiguro,A Pale View of the Hills,1982,"Niki, the name we finally gave my younger daughter, is not an abbreviation; it was a compromise I reached with her father. For paradoxically it was he who wanted to give her a Japanese name, and I—perhaps out of some selfish desire not to be reminded of the past—insisted on an English one. He finally agreed to Niki, thinking it had some vague echo of the East about it."
Kazuo Ishiguro,The Remains of the Day,1989,It seems increasingly likely that I really will undertake the expedition that has been preoccupying my imagination now for some days.
Kazuo Ishiguro,The New Yorker,,"There was a time when I could travel England for weeks on end and remain at my sharpest—when if anything, the travelling gave me an edge. But now that I am older I become disoriented more easily."
Kazuo Ishiguro,Klara and the Sun,2021,"When we were new, Rosa and I were mid-store, on the magazines table side, and could see through more than half the window."
Jeff Jacoby,The Boston Globe,,They were nice to my father the second time he went to Auschwitz.
Henry James,Harper’s New Monthly Magazine,,Never say you know the last word about any human heart!
Morgan Jerkins,Wandering in Strange Lands,2020,I was seven years old when I learned that I wasn’t my father’s only daughter.
Ha Jin,Waiting,1999,"Every summer Lin Kong returned to Goose Village to divorce his wife, Shuyu."
Brian Johnson,The Lives of Brian,2022,"The soundtrack of my early childhood was the clatter of my mother’s sewing machine, followed by the muffled sobs of her crying herself to sleep every night downstairs."
Gareth P. Jones,The Thornthwaite Inheritance,2010,Lorelli and Ovid Thornthwaite had been trying to kill each other for so long that neither twin could remember which act of attempted murder came first.
Gareth P. Jones,Constable &amp; Toop,2013,"In her last few moments of life, as the blood gushed from the knife wound in her neck, Emily Wilkins found her thoughts drifting to her mother’s death."
Erica Jong,Fear of Flying,1973,There were 117 psychoanalysts on the Pan Am flight to Vienna and I’d been treated by at least six of them. And married a seventh.
Erica Jong,How to Save Your Own Life,1977,"I left my husband on Thanksgiving Day. It was nine years since I met him and almost that long since I married him—time enough to know something isn’t working, and yet it wasn’t easy."
Erica Jong,Parachutes and Kisses,1984,"Isadora, separated from Josh, is like a kid in her twenties. Only like the kid she never was in her twenties—almost carefree. At thirty-nine, she finds herself possessed of a demoniacal sexuality—which has no need to justify itself with love."
Erica Jong,Inventing Memory,1997,"Sometimes, in dreams, my firstborn son comes back to me. I think he is my guardian angel. “Mama, Mamichka, Mamanyu, Mamale,“ he says, let me warn you...“"
Erica Jong,Fear of Dying,2015,I used to love the power I had over men.
Han Kang,The Vegetarian,,"Before my wife turned vegetarian, I'd always thought of her as completely unremarkable in every way."
Mary Karr,The Liar’s Club,1995,"Not long before my mother died, the tile guy redoing her kitchen pried from the wall a tile with an unlikely round hole in it. He sat back on his knees and held the tile up so the sun through aged yellow curtains seemed to pierce the hole like a laser. He winked at my sister Lecia and me before turning to my gray-haired mother, now bent over her copy of Marcus Aurelius and a bowl of sinus-opening chili, and he quipped, “Now Miss Karr, this looks like a bullet hole.“ Lecia didn’t miss a beat, saying, “Mother, isn’t that where you shot at daddy?“ And Mother squinted up, slid her glasses down her patrician-looking nose and said, very blasé?, “No, that’s where I shot at Larry.“ She wheeled to point at another wall, adding, “Over there’s where I shot at your daddy.“"
Mary Karr,Cherry,2000,"No road offers more mystery than that first one you mount from the town you were born to, the first time you mount it of your own volition, on a trip funded by your own coffee tin of wrinkled up dollars—bills you’ve saved and scrounged for, worked the all-night switchboard for, missed the Rolling Stones for, sold fragrant pot with smashed flowers going brown inside twist-tie plastic baggies for. In fact, to disembark from your origins, you’ve done everything you can think to scrounge money save selling your spanking young pussy."
Mary Karr,Lit,2009,"Any way I tell this story is a lie, so I ask you to disconnect the device in your head that repeats at intervals how ancient and addled I am."
Lauren Kate,The Betrayal of Natalie Hargrove,2009,"Once upon a time you knew nothing. It wasn’t your fault—you were just a kid. And growing up where you did, most people assumed that this was for the best. The longer it took a small town southern girl to catch on to the backward ways of her world, the better off everyone was."
Bel Kaufman,"Love, etc.",1979,"And they lived happily ever after. Well, not exactly. Actually, not at all. As a matter of fact, miserably. To tell the truth, their life together was sheer hell, and their struggles to free themselves from each other were disastrous."
Brian Keene,Jack’s Magic Beans,2011,The lettuce started talking to Ben Mahoney halfway through his shift at Save-A-Lot.
Brian Keene,The Complex,2016,"When everyone starts killing each other, Sam doesn’t notice at first because he’s too busy preparing to kill himself."
Caroline Kepnes,You,2014,"You walk into the bookstore and you keep your hand on the door to make sure it doesn’t slam. You smile, embarrassed to be a nice girl, and your nails are bare and your V-neck sweater is beige and it’s impossible to know if you’re wearing a bra but I don’t think that you are."
Ian Kerner,She Comes First,2004,"The premise of this book is simple: when it comes to pleasuring women and conversing in the language of love, cunnilingus should be every man’s native tongue."
Alicia Keyes,More Myself,,"I am seven. My mom and I are side by side in the back seat of a yellow taxi, making our way up Eleventh Avenue in Manhattan on a dead-cold day in December. We hardly ever take cabs. They’re a luxury for a single parent and part-time actress. But on this afternoon, maybe because Mom has just finished an audition near my school, PS 116 on East Thirty-third Street, or maybe because it’s so freezing we can see our breath, she picks me up."
Sue Monk Kidd,The Secret Life of Bees,2002,"At night I would lie in bed and watch the show, how bees squeezed through the cracks of my bedroom wall and flew circles around the room, making that propeller sound, a high-pitched zzzzzz that hummed along my skin. I watched their wings shining like bits of chrome in the dark and felt the longing build in my chest. The way those bees flew, not even looking for a flower, just flying for the feel of the wind, split my heart down its seam."
Sue Monk Kidd,The Mermaid Chair,2005,"In the middle of my marriage, when I was above all Hugh’s wife and Dee’s mother, one of those unambiguous women with no desire to disturb the universe, I fell in love with a Benedictine monk."
Sue Monk Kidd,The Book of Longings,2020,"I am Ana. I was the wife of Jesus ben Joseph of Nazareth. I called him Beloved and he, laughing, called me Little Thunder."
Lily King,The English Teacher,2005,"October, 1979 That she had not killed him in her sleep was still the great relief of every morning."
Lily King,Euphoria,2014,"As they were leaving the Mumbanyo, someone threw something at them. It bobbed a few yards from the stern of the canoe. A pale brown thing. “Another dead baby,” Fen said."
Lily King,Writers and Lovers,2020,"I have a pact with myself not to think about money in the morning. I’m like a teenager trying not to think about sex. Or Luke. Or death. Which means not thinking about my mother, who died on vacation last winter. There are so many things I can’t think about in order to write in the morning."
Stephen King,The Girl who Loved Tom Gordon,1999,The world had teeth and it could bite you with them anytime it wanted.
Stephen King,Lisey’s Story,2006,"To the public eye, the spouses of well-known writers are all but invisible, and no one knew it better than Lisey Landon."
Stephen King,The Paris Review,2008,"I didn’t think I would ever tell this story. My wife told me not to; she said no one would believe it and I’d only embarrass myself. What she meant, of course, was that it would embarrass her."
Stephen King,Joyland,2013,"I had a car, but on most days in that fall of 1973 I walked to Joyland from Mrs. Shoplaw’s Beachside Accommodations in the town of Heaven’s Bay. It seemed like the right thing to do. The only thing, actually."
Stephen King,Later,2021,"I don’t like to start with an apology—there’s probably even a rule against it—but after reading over the first thirty pages I’ve written so far, I feel like I have to."
Tabitha King,Survivor,1998,"The girls came from nowhere, emerging from darkness suddenly, into the street directly in front of her."
Barbara Kingsolver,The Bean Trees,1988,I have been afraid of putting air in a tire ever since I saw a tractor tire blow up and throw Newt Hardbine’s father over the top of the Standard Oil sign. I’m not lying. He got stuck up there.
Barbara Kingsolver,Flight Behavior,2012,"A certain feeling comes from throwing your good life away, and it is one part rapture. Or so it seemed for now, to a woman with flame-colored hair who marched uphill to meet her demise."
Laura Kipnis,Men,2014,"Men have fascinated me, maybe too much. They’ve troubled me. They’re large and take up a lot of space—space in the imagination, I mean. They force you to think about them."
Milan Kundera,The Festival of Insignificance,2013,"It was the month of June, the morning sun was emerging from the clouds, and Alain was walking slowly down a Paris street. He observed the young girls, who—every one of them—showed her naked navel between trousers belted very low and a T-shirt cut very short."
Stephanie LaCava,An Extraordinary Theory of Objects,2012,I was always strange.
Catherine Lacey,Nobody is Ever Missing,2014,"There might be people in this world who can read minds against their will and if that kind of person exists I am pretty sure my husband is one of them. I think this because of what happened the week I knew I’d be leaving soon, but he didn’t know."
Catherine Lacey,The Answers,2017,"I’d run out of options. That’s how these things usually happen, how a person ends up placing all her last hopes on a stranger, hoping that whatever that stranger might do to her would be the thing she needed done to her."
Laila Lalami,The Other Americans,2019,"My father was killed on a spring night four years ago, while I sat in the corner booth of a new bistro in Oakland."
Wally Lamb,I Know This Much Is True,2008,"On the afternoon of October 12, 1990, my twin brother Thomas entered the Three Rivers, Connecticut Public Library, retreated to one of the rear study carrels, and prayed to God the sacrifice he was about to commit would be deemed acceptable."
Anne Lamott,Hard Laughter,1979,My family lived for fifteen years in a castle built more than a century ago by an eccentric man who wanted his Rhine-born wife to feel at home when he brought her to live in California.
Anne Lamott,All New People,1989,"I am living once again in the town where I grew up, having returned here several weeks ago in a state of dull torment for which the Germans probably have a word."
Anne Lamott,Blue Shoes,2002,The world outside the window was in flames. The leaves on the pistachio trees shone fire-red and orange. Mattie studied the early morning light. She was lying on the side of the bed where her husband should have been sleeping.
Anne Lamott,Imperfect Birds,2010,"There are so many evils that pull on our children. Even in the mellow town of Landsdale, where it is easy to see only beauty and decency, a teenager died nearly every year after a party and kids routinely went from high school to psych wards, halfway houses, or jail. Once a year a child from the county of Marin jumped off the Golden Gate Bridge."
D. H. Lawrence,Lady Chatterley’s Lover,1928,"Ours is essentially a tragic age, so we refuse to take it tragically."
Jenny Lawson,Let’s Pretend This Never Happened,2012,"This book is totally true, except for the parts that aren’t. It’s basically like Little House on the Prairie but with more cursing."
Wendy Lazar,Day-by-Day and Heart-to-Heart,2021,"I arrived October 6, 1964, knowing only one word of Japanese: Sayonara."
Jane Leavy,Squeeze Play,1990,"Opening Day April 3 You see a lot of penises in my line of work: short ones, stubby ones, hard ones, soft ones. Circumcised and uncircumcised; laid-back and athletic."
Richard Lederer,The Cunning Linguist,2003,"In a junior high-school biology class the teacher asks a student, “Mary please name the part of the human body that expands to six times its normal size and explain under what conditions.” Blushing bright red, Mary simpers, “Teacher that is not a proper question to ask me, and I can’t answer it in front of the class.” The teacher turns to another student and asks, “All right, Johnny, do you have the answer?” “The pupil of the eye, and in dim light.”"
Harper Lee,To Kill a Mockingbird,1961,"When he was nearly thirteen, my brother Jem got his arm badly broken at the elbow. When it healed, and Jem’s fears of never being able to play football were assuaged, he was seldom self-conscious about his injury. His left arm was somewhat shorter than his right; when he stood or walked, the back of his hand was at right angles to his body, his thumb parallel to his thigh. He couldn’t have cared less, so long as he could pass and punt."
Mackenzi Lee,The Gentleman’s Guide to Vice and Virtue,2017,"On the morning we are to leave for our Grand Tour of the Continent, I wake up in bed beside Percy. For a disorienting moment, it’s unclear whether we’ve slept together or simply slept together."
Dennis Lehane,The Atlantic,,"Your father picks you up from prison in a stolen Dodge Neon, with an 8-ball of coke in the glove compartment and a hooker named Mandy in the back seat."
Eva Leigh,The Good Girl’s Guide to Rakes,2022,"London, England, 1818 The wedding hadn’t happened yet, and already the marriage was a disaster."
Raven Leilani,Luster,2020,"The first time we have sex, we are both fully clothed, at our desks during working hours, bathed in blue computer light."
Elmore Leonard,The Tonto Woman and Other Western Stories,1982,"A time would come, within a few years, when Ruben Vega would go to the church in Benson, kneel in the confessional, and say to the priest, “Bless me, Father, for I have sinned. It has been thirty-seven years since my last confession.”"
Billie Letts,Where the Heart Is,1995,"Novalee Nation, seventeen, seven months pregnant, thirty-seven pounds overweight—and superstitious about sevens—shifted uncomfortably in the seat of the old Plymouth and ran her hands down the curve of her belly."
Billie Letts,Made in the U.S.A.,2009,"Lutie McFee struggled into the too tight red, sleeveless turtleneck, smoothed it across her ribs, then checked herself out in the mirror of the Wal-Mart dressing room."
Katia Lief,Invisible Woman,2024,"The first time the thought came to her, with clarity instead of anger, it was a warm evening in June not long before the party that was supposed to launch a new phase of her husband’s brilliant career. She was standing at the kitchen sink sponging tomato sauce off a white plate. She rinsed it and set it dripping in the dish drainer, then picked up a wineglass and scrubbed at a haze of lip gloss biting the rim. She put the glass down but left the water running, as if the sound could blot out her thoughts, as if he could hear them through the linkage of empty rooms. What if I killed him?"
Laura Lippman,By a Spider’s Thread,2004,They were in one of the “I” states when Zeke told Isaac he had to ride in the trunk for a little while.
Laura Lippman,Longreads.com,,My daughter was 10 days old the first time I was asked if I were her grandmother.
Patricia Lockwood,Priestdaddy,2017,"“Before they allowed your father to be a priest,” my mother tells me, “they made me take the Psychopath Test. You know, a priest can’t have a psychopath wife, it would bring disgrace.”"
Robert Hill Long,Flash Fiction: Very Short Stories,1992,"Even when she was very little her hunger was worth something: hunger taught her to dance, and her father noticed."
Phillip Lopate,Getting Personal: Selected Essays,2003,My mother was seeing another man. His name was Willy.
Phillip Lopate,Getting Personal: Selected Essays,2003,I grew up in the era of the great Jewish Lovers.
Charlie Lovett,The Fat Lady Sings,2011,Cynthia Pirelli’s boobs are soooo fake.
Karen Martin,The Bringer of Happiness,2022,"I should have assumed with parents known to the world as Mary Magdalene and Jesus Christ, I would be different."
Ilana Masad,All My Mother’s Lovers,2020,"Maggie is in the midst of a second lazy orgasm when her brother, Ariel, calls to tell her their mother has died."
Armistead Maupin,Michael Tolliver Lives,2007,"Not long ago, down on Castro Street, a stranger in a Giants parka gave me a loaded glance as we passed each other in front of Cliff’s Hardware."
Rollo May,Love and Will,1989,"The striking thing about love and will in our day is that, whereas in the past they were always held up to us as the answer to life’s predicaments, they have now themselves become the problem."
Alexander McCall Smith,The Great Hippopotamus Hotel,2024,"Mma Ramotswe had always understood that people who are one thing may at the same time be another. This insight, although not entirely original, is undoubtedly quite true. Embodying more than one identity is part of being human—and one of the things of which we might be justifiably proud."
Cormac McCarthy,The Road,2006,When he woke in the woods in the dark and the cold of the night he’d reach out to touch the child sleeping beside him. Nights dark beyond darkness and the days more gray each one than what had gone before. Like the onset of some cold glaucoma dimming away the world.
Cormac McCarthy,The Passenger,2022,It had snowed lightly in the night and her frozen hair was gold and crystalline and her eyes were frozen cold and hard as stones.
Frank McCourt,Angela’s Ashes,1996,"My father and mother should have stayed in New York where they met and married and where I was born. Instead, they returned to Ireland when I was four, my brother, Malachy, three, the twins, Oliver and Eugene, barely one, and my sister, Margaret, dead and gone."
Elizabeth McCracken,The Hero of This Book,2022,This was the summer before the world stopped.
George Barr McCutcheon,Brewster’s Millions,1902,"“The Little Sons of the Rich” were gathered about the long table in Pettingill’s studio. There were nine of them present, besides Brewster. They were all young, more or less enterprising, hopeful, and reasonably sure of better things to come. Most of them bore names that meant something in the story of New York. Indeed, one of them had remarked, “A man is known by the street that’s named after him,“ and as he was a new member, they called him “Subway.“"
George Barr McCutcheon,A Fool and His Money,1913,I am quite sure it was my Uncle Rilas who said that I was a fool.
Freida McFadden,The Teacher,2024,Digging a grave is hard work.
Frieda McFadden,The Housemaid,2022,"If I leave this house, it will be in handcuffs."
Frieda McFadden,The Housemaid’s Secret,2023,"Tonight, I will be murdered."
Frieda McFadden,The Housemaid is Watching,2024,There’s blood everywhere
Thomas McGuane,Cloudbursts: Collected and New Stories,2018,"The Smiths were a very old couple, whose lifelong habits of exercise and outdoor living and careful diet had resulted in their seeming tiny—tiny, pale and almost totemic—as they spread a picnic tablecloth on my front lawn and arranged their luncheon."
Thomas McGuane,The New Yorker,,"Ten years before Joan Krebs left her husband, Roger, and moved back to Cincinnati, I spotted the two of them dining alone by the bricked-up fireplace in the Old Eagle Grill. She was a devoted daughter, her father a sportsman with well-bred dogs, who arrived once a year to peer at Roger and inspect the marriage."
Jay McInerney,Brightness Falls,1992,The last time I saw Russell and Corrine together was the weekend of the final softball game between the addicts and the depressives.
Erin McKean,The Secret Lives of Dresses,2011,"Dora had a rhythm going, or if not a rhythm, a pattern, and it went something like downshift, wipe tears away with back of hand, sob, upshift, scrub running nose with horrible crumpled fast-food napkin, stab at the buttons on the radio, and then downshift again."
Terry McMillan,Waiting to Exhale,1992,Right now I’m supposed to be all geeked up because I’m getting ready for a New Year’s Eve party that some guy named Lionel invited me to.
Terry McMillan,The Interruption of Everything,2005,The only reason I’m sitting on a toilet seat in the handicapped stall of the ladies’ room is because I’m hiding.
Larry McMurtry,Terms of Endearment,1975,"“The success of a marriage invariably depends on the woman,” Mrs. Greenway said. “It does not,” Emma said, not looking up. She was sitting in the middle of her living-room floor sorting a large pile of laundry."
